Module,GTK widget/signal,Qt counterpart,Notes
MainWindow (window.py),Adw.ApplicationWindow,QMainWindow,"Primary app chrome; supports actions, title, accelerator routing"
MainWindow (window.py),Gtk.HeaderBar (with toggle buttons),QToolBar/QWidgetAction,"Header controls for sidebar/home toggles; may map to toolbar with actions"
MainWindow (window.py),Adw.OverlaySplitView (NavigationSplitView/Gtk.Paned fallback),QSplitter/QStackedWidget,"Sidebar/content split; overlay variant provides reveal/hide behavior"
MainWindow (window.py),Adw.ToastOverlay,QStackedWidget + QMessageBox/QML Toast,"Provides transient notifications over content"
MainWindow (window.py),Gtk.ListView in sidebar (via sidebar.py rows),QListView/QListWidget,"Displays connections/groups; relies on custom row widgets"
MainWindow (window.py),Adw.TabView/Gtk.Notebook (tabbed terminals),QTabWidget/QTabBar,"Hosts TerminalWidget pages and welcome view"
TerminalWidget (terminal.py),Gtk.Box container,QVBoxLayout host,"Vertical layout wrapping terminal and overlays"
TerminalWidget (terminal.py),Gtk.ScrolledWindow,QScrollArea,"Scrolls terminal output when backend supports"
TerminalWidget (terminal.py),Gtk.Overlay,QStackedLayout,"Layers search banner/connecting overlays over terminal"
TerminalWidget (terminal.py),Vte.Terminal via VTETerminalBackend,QTermWidget or custom pty/PTYProcess,"Core terminal emulator with search/encoding APIs"
TerminalWidget (terminal.py),Gtk.SearchEntry + buttons,QLineEdit + QToolButton,"Search UI wired to terminal search API"
TerminalWidget (terminal.py),GObject signals (connection-established/failed/lost/title-changed),Qt signals,"Session lifecycle notifications for tabs/window"
ConnectionDialog (connection_dialog.py),Adw.Window (modal),QDialog,"Modal connection editor with custom buttons"
ConnectionDialog (connection_dialog.py),Adw.HeaderBar,QDialogButtonBox/QToolBar,"Top chrome with title/buttons"
ConnectionDialog (connection_dialog.py),Gtk.Notebook,QTabWidget,"Tabbed pages for connection/general settings"
ConnectionDialog (connection_dialog.py),Gtk.Entry/SearchEntry/SpinButton,QLineEdit/QSpinBox,"Form controls bound to Config/validator"
ConnectionDialog (connection_dialog.py),Gtk.Switch/CheckButton,QCheckBox/QSwitch,"Toggle settings for auth/options"
ConnectionDialog (connection_dialog.py),Gtk.FileDialog/Gtk.Button with file chooser,QFileDialog-triggered QPushButton,"Key selection and path prompts"
